case,event,role
1,26,23
1,27,23
1,28,23
1,29,23
1,30,23
1,36,23
1,37,23
1,44,23
1,45,23
1,48,23
1,172,23
1,186,23
1,31,23
1,56,6
1,64,6
1,69,6
1,76,6
1,77,6
1,82,6
1,88,6
1,89,6
1,90,6
1,97,6
1,116,6
1,117,6
1,118,6
1,119,6
1,122,6
1,125,6
1,131,6
1,249,6
1,286,6
1,326,6
1,373,6
1,123,17
1,124,17
1,132,17
1,136,17
1,138,17
1,139,17
1,142,17
1,143,17
1,144,17
1,140,17
1,141,17
2,26,13
2,27,13
2,28,13
2,29,13
2,30,13
2,36,13
2,37,13
2,44,13
2,45,13
2,48,13
2,172,13
2,186,13
2,31,13
2,56,6
2,249,6
2,250,6
2,251,6
2,252,6
2,254,6
2,253,6
2,255,6
2,256,6
2,257,6
2,63,13
2,259,13
2,64,6
2,67,6
2,69,6
2,76,6
2,77,6
2,82,6
2,88,6
2,89,6
2,90,6
2,97,6
2,116,6
2,117,6
2,118,6
2,119,6
2,122,6
2,125,6
2,131,6
2,132,17
2,136,17
2,138,17
2,139,17
2,142,17
2,143,17
2,144,17
2,249,6
2,286,6
2,326,6
2,373,6
2,123,17
2,124,17
2,140,17
2,141,17
3,26,23
3,27,23
3,28,23
3,29,23
3,30,23
3,36,23
3,37,23
3,44,23
3,45,23
3,48,23
3,172,23
3,186,23
3,31,23
3,56,6
3,249,6
3,250,6
3,251,6
3,252,6
3,254,6
3,253,6
3,255,6
3,256,6
3,257,6
3,63,6
3,64,6
3,67,6
3,69,6
3,76,6
3,77,6
3,82,6
3,88,6
3,89,6
3,90,6
3,97,6
3,116,6
3,117,6
3,118,6
3,119,6
3,122,6
3,249,6
3,259,6
3,286,6
3,326,6
3,373,6
3,125,6
3,131,6
3,132,17
3,136,17
3,138,17
3,139,17
3,142,17
3,143,17
3,144,17
3,123,17
3,124,17
3,140,17
3,141,17
4,26,13
4,27,13
4,28,13
4,29,13
4,30,13
4,36,13
4,37,13
4,44,13
4,45,13
4,48,13
4,172,13
4,186,13
4,31,13
4,56,6
4,249,6
4,250,6
4,251,6
4,252,6
4,254,6
4,253,6
4,63,6
4,255,6
4,256,6
4,257,6
4,259,6
4,64,6
4,67,6
4,69,6
4,76,6
4,77,6
4,82,6
4,88,6
4,89,6
4,90,6
4,97,6
4,116,6
4,117,6
4,118,6
4,119,6
4,122,6
4,125,6
4,131,6
4,249,6
4,286,6
4,326,6
4,373,6
4,132,15
4,136,15
4,138,15
4,139,15
4,142,15
4,143,15
4,144,15
4,152,15
4,123,15
4,124,15
4,140,15
4,141,15
5,26,17
5,27,17
5,28,17
5,29,17
5,30,17
5,36,17
5,37,17
5,44,17
5,45,17
5,172,17
5,186,17
5,31,17
5,48,6
5,56,6
5,64,6
5,69,6
5,76,6
5,77,6
5,82,6
5,88,6
5,89,6
5,90,6
5,97,6
5,116,6
5,117,6
5,118,6
5,119,6
5,122,6
5,125,6
5,131,6
5,249,6
5,286,6
5,326,6
5,373,6
5,132,15
5,136,15
