case,event,role
1,28,21
1,29,21
1,31,21
1,32,21
1,33,21
1,39,21
1,40,21
1,162,21
1,163,21
1,165,21
1,176,21
1,385,21
1,34,14
1,51,14
1,52,14
1,53,14
1,59,14
1,68,14
1,74,14
1,81,14
1,82,14
1,87,14
1,93,14
1,94,14
1,95,14
1,100,14
1,115,14
1,116,14
1,117,14
1,118,14
1,218,14
1,254,14
1,299,14
1,358,14
1,359,14
1,387,14
1,121,13
1,123,13
1,124,13
1,125,13
1,126,13
1,127,13
1,129,13
1,130,13
1,131,13
1,132,13
1,133,13
1,134,13
1,135,13
1,384,13
1,122,13
2,28,21
2,29,21
2,31,21
2,32,21
2,33,21
2,39,21
2,40,21
2,162,21
2,163,21
2,165,21
2,176,21
2,385,21
2,34,15
2,51,15
2,52,15
2,53,15
2,59,15
2,218,15
2,219,15
2,220,15
2,221,15
2,359,15
2,222,15
2,111,15
2,112,15
2,270,15
2,271,15
2,261,15
2,262,15
2,63,15
2,64,15
2,67,15
2,68,15
2,71,15
2,72,15
2,76,15
2,81,15
2,82,15
2,84,15
2,87,15
2,93,15
2,94,15
2,95,15
2,101,15
2,102,15
2,103,15
2,104,15
2,105,15
2,108,15
2,110,15
2,113,15
2,116,15
2,149,15
2,218,15
2,223,15
2,224,15
2,225,15
2,226,15
2,228,15
2,254,15
2,259,15
2,264,15
2,266,15
2,268,15
2,269,15
2,272,15
2,275,15
2,299,15
2,358,15
2,106,15
2,273,15
2,117,13
2,118,13
2,121,13
2,123,13
2,124,13
2,125,13
2,126,13
2,127,13
2,129,13
2,130,13
2,132,13
2,133,13
2,134,13
2,135,13
2,137,13
2,384,13
2,122,13
2,136,13
2,131,13
2,151,15
2,10,15
2,23,15
2,148,15
2,150,15
2,152,15
2,153,15
2,154,15
2,155,15
2,22,15
3,28,21
3,29,21
3,31,21
3,32,21
3,33,21
3,39,21
3,40,21
3,162,21
3,163,21
3,165,21
3,176,21
3,385,21
4,28,21
4,29,21
4,31,21
4,32,21
4,33,21
4,39,21
4,40,21
4,162,21
4,163,21
4,165,21
4,176,21
4,385,21
4,34,14
4,51,14
4,52,14
4,53,14
4,59,14
4,68,14
4,74,14
4,81,14
4,82,14
4,87,14
4,93,14
4,94,14
4,95,14
4,100,14
4,115,14
4,116,14
4,117,14
4,118,14
4,218,14
4,254,14
4,299,14
4,358,14
4,359,14
4,121,13
4,123,13
4,124,13
4,125,13
4,126,13
4,127,13
4,129,13
4,130,13
4,131,13
4,132,13
4,133,13
4,134,13
4,135,13
4,151,5
4,384,13
4,122,13
4,1,5
4,23,5
4,49,5
4,148,5
4,150,5
4,152,5
4,153,5
4,154,5
4,155,5
4,22,5
5,28,21
5,29,21
5,31,21
5,32,21
5,33,21
5,39,21
5,40,21
5,162,21
5,163,21
5,165,21
5,176,21
5,385,21
5,34,12
5,51,12
5,59,12
5,68,12
5,74,12
5,81,12
5,218,12
5,359,12
5,82,12
5,87,12
5,93,12
5,94,12
5,95,12
5,100,12
5,115,12
5,116,12
5,117,12
5,118,12
5,254,12
5,299,12
5,358,12
5,121,13
5,123,13
5,124,13
5,125,13
5,126,13
5,127,13
5,129,13
5,130,13
5,131,13
5,132,13
5,133,13
5,134,13
5,135,13
5,384,13
5,122,13
5,1,12
5,23,12
5,49,12
5,148,12
5,150,12
5,151,12
5,152,12
5,153,12
5,154,12
5,155,12
5,22,12
6,28,21
6,29,21
6,31,21
6,32,21
6,163,21
6,176,21
6,385,21
6,33,21
6,39,21
6,40,21
6,162,21
6,165,21
6,34,12
6,51,12
6,52,12
6,53,12
6,59,12
6,218,12
6,219,12
6,220,12
6,222,12
6,359,12
6,63,12
6,64,12
6,67,12
6,68,12
6,71,12
6,74,12
6,218,12
6,221,12
6,223,12
6,224,12
6,225,12
6,226,12
6,228,12
6,81,12
6,82,12
6,87,12
6,93,12
6,94,12
6,95,12
6,100,12
6,115,12
6,116,12
6,117,12
6,118,12
6,254,12
6,299,12
6,358,12
6,121,13
6,123,13
6,124,13
6,125,13
6,126,13
6,127,13
6,129,13
6,130,13
6,131,13
6,132,13
6,133,13
6,134,13
6,135,13
6,384,13
6,122,13
6,1,12
6,23,12
6,49,12
6,148,12
6,150,12
6,151,12
6,152,12
6,153,12
6,154,12
6,155,12
6,22,12
7,28,21
7,29,21
7,31,21
7,32,21
7,33,21
7,39,21
7,40,21
7,162,21
7,163,21
7,165,21
7,176,21
7,385,21
7,34,12
7,51,12
7,59,12
7,68,12
7,74,12
7,81,12
7,82,12
7,87,12
7,93,12
7,94,12
7,95,12
7,100,12
7,115,12
7,116,12
7,117,12
7,118,12
7,121,12
7,124,12
7,125,12
7,218,12
7,254,12
7,299,12
7,358,12
7,359,12
7,122,13
7,123,13
7,126,13
7,127,13
7,129,13
7,130,13
7,131,13
7,132,13
7,133,13
7,134,13
7,135,13
7,384,13
7,1,12
7,23,12
7,49,12
7,148,12
7,150,12
7,151,12
7,152,12
