case,event,role
1,17,3
1,18,3
1,20,3
1,21,3
1,28,3
1,29,3
1,30,3
1,33,3
1,40,3
1,46,3
1,141,3
1,150,3
1,31,3
1,53,1
1,57,1
1,62,1
1,68,1
1,73,1
1,74,1
1,80,1
1,97,1
1,98,1
1,99,1
1,100,1
1,103,1
1,106,1
1,107,1
1,213,1
1,246,1
1,287,1
1,327,1
1,104,4
1,105,4
1,108,4
1,109,4
1,110,4
1,111,4
1,112,4
1,113,4
1,114,4
1,115,4
1,116,4
1,1,3
1,16,3
1,131,3
1,15,3
2,17,3
2,18,3
2,20,3
2,21,3
2,28,3
2,29,3
2,30,3
2,33,3
2,40,3
2,46,3
2,141,3
2,150,3
2,31,3
3,17,3
3,18,3
3,20,3
3,21,3
3,28,3
3,29,3
3,30,3
3,33,3
3,40,3
3,46,3
3,141,3
3,150,3
3,31,3
4,17,4
4,19,4
4,20,4
4,21,4
4,22,4
4,29,4
4,30,4
4,141,4
4,150,4
4,151,4
4,153,4
4,154,4
4,155,4
4,156,4
4,23,4
4,31,3
4,31,1
4,33,8
4,40,8
4,46,8
4,213,8
4,214,8
4,215,8
4,216,8
4,218,8
4,245,8
4,217,1
4,217,8
4,219,3
4,220,1
4,221,3
4,223,3
4,220,3
4,53,8
4,56,8
4,57,8
4,62,8
4,68,8
4,73,8
4,74,8
4,81,8
4,82,8
4,135,8
4,213,8
4,246,8
4,83,3
4,84,3
4,85,3
4,90,3
4,92,3
4,93,1
4,94,3
4,94,1
4,95,3
4,252,3
4,261,3
4,262,3
4,88,3
4,93,3
4,18,1
4,20,1
4,21,1
4,29,1
4,30,1
4,33,1
4,40,1
4,46,1
4,53,1
4,56,1
4,57,1
4,62,1
4,68,1
4,73,1
4,74,1
4,81,1
4,82,1
4,83,1
4,84,1
4,85,1
4,90,1
4,92,1
4,95,1
4,141,1
4,150,1
4,151,1
4,153,1
4,154,1
4,155,1
4,156,1
4,213,1
4,213,1
4,214,1
4,215,1
4,216,1
4,218,1
4,219,1
4,221,1
4,223,1
4,246,1
4,252,1
4,261,1
4,262,1
4,263,3
4,264,1
4,264,3
4,265,3
4,265,1
4,267,1
4,356,1
4,266,1
4,88,1
4,263,1
4,254,3
4,254,1
4,255,1
4,255,3
5,17,4
5,18,4
5,20,4
5,21,4
5,28,4
5,29,4
5,30,4
5,33,4
5,40,4
5,46,4
5,141,4
5,150,4
5,31,4
5,213,9
5,214,9
5,215,9
5,216,4
5,218,4
5,217,4
5,220,9
5,219,9
5,221,9
5,223,9
5,53,9
5,56,9
5,57,9
5,62,9
5,68,9
5,73,9
5,74,9
5,80,9
5,97,9
5,98,9
5,99,9
5,100,9
5,213,9
5,246,9
5,287,9
5,327,9
5,103,4
5,105,4
5,106,4
5,107,4
5,108,4
5,109,4
5,110,4
5,111,4
5,113,4
5,114,4
5,115,4
5,116,4
5,104,4
5,112,4
6,17,4
6,18,4
6,20,4
6,21,4
6,28,4
6,29,4
6,141,4
6,150,4
6,30,9
6,33,9
6,40,9
6,46,9
6,53,9
6,57,9
6,62,9
6,68,9
6,73,9
6,74,9
6,80,9
6,97,9
6,98,9
6,99,9
6,100,9
6,213,9
6,246,9
6,287,9
6,327,9
6,103,4
6,105,4
6,106,4
6,107,4
6,108,4
6,109,4
6,110,4
6,104,4
6,111,4
6,113,4
6,114,4
6,115,4
6,116,4
6,112,4
7,17,4
7,18,4
7,20,4
7,21,4
7,28,4
7,29,4
7,30,4
7,33,4
7,40,4
7,46,4
7,141,4
7,150,4
7,31,9
7,53,9
7,57,9
7,62,9
7,68,9
7,73,9
7,74,9
7,80,9
7,97,9
7,98,9
7,99,9
7,100,9
7,213,9
7,246,9
7,287,9
7,327,9
7,103,4
7,105,4
7,106,4
7,107,4
7,108,4
7,109,4
7,110,4
7,111,4
7,104,4
7,112,4
7,113,4
7,114,4
7,115,4
7,116,4
8,17,4
8,18,4
8,20,4
8,21,4
8,28,4
8,29,4
8,30,4
8,33,4
8,40,4
8,46,4
8,141,4
8,150,4
8,31,1
8,53,1
8,57,1
8,62,1
8,68,1
8,73,1
8,74,1
8,80,1
8,97,1
8,98,1
8,99,1
8,100,1
8,103,1
8,106,1
8,107,1
8,213,1
8,246,1
8,287,1
8,327,1
8,356,1
8,104,4
8,105,4
8,108,4
8,109,4
8,110,4
8,111,4
8,113,4
8,114,4
8,115,4
8,116,4
8,112,4
9,17,4
9,18,4
9,20,4
9,21,4
9,28,4
9,29,4
9,30,4
9,33,4
9,40,4
9,46,4
9,141,4
9,150,4
9,31,4
9,53,1
9,57,1
9,62,1
9,68,1
9,73,1
9,74,1
9,80,1
9,97,1
9,98,1
9,213,1
9,246,1
9,287,1
9,327,1
9,149,1
9,175,1
9,176,1
9,180,1
9,181,1
9,182,1
9,184,1
9,186,1
9,187,1
9,193,1
9,194,1
9,185,1
9,192,1
9,99,1
9,100,1
9,103,1
9,106,1
9,107,1
9,104,4
9,105,4
9,108,4
9,109,4
9,110,4
9,111,4
9,113,4
9,114,4
9,115,4
9,116,4
