case,event,role
1,33,9
1,34,9
1,36,9
1,37,9
1,184,9
1,197,9
1,38,9
1,39,9
1,41,9
1,173,9
1,186,9
1,188,9
1,189,9
1,192,9
1,46,3
1,47,3
1,49,3
1,60,3
1,57,3
1,58,3
1,61,3
1,252,3
1,253,3
1,256,3
1,255,3
1,258,3
1,259,3
1,64,3
1,65,3
1,252,3
1,69,3
1,74,3
1,84,3
1,81,3
1,72,3
1,82,3
1,91,3
1,297,3
1,92,3
1,93,3
1,101,3
1,103,3
1,104,3
1,105,3
1,112,10
1,114,10
1,117,10
1,301,10
1,308,10
1,310,10
1,312,10
1,318,10
1,334,10
1,336,10
1,337,10
1,339,10
1,340,10
1,313,10
1,306,10
1,303,10
1,13,10
1,13,10
1,26,10
1,27,10
1,29,10
1,30,10
1,117,10
1,122,10
1,122,10
1,130,10
1,130,10
1,134,10
1,134,10
1,143,10
1,143,10
1,166,10
1,120,10
1,135,10
1,144,10
1,120,10
1,135,10
1,144,10
1,31,10
1,162,10
2,33,10
2,34,10
2,36,10
2,37,10
2,184,10
2,197,10
2,38,10
2,39,10
2,41,10
2,173,10
2,186,10
2,188,10
2,189,10
2,192,10
2,46,10
2,47,10
2,49,10
2,53,10
2,60,10
2,211,10
2,238,10
2,55,10
2,59,10
2,61,10
2,298,10
2,69,10
2,74,10
2,84,10
2,81,10
2,72,10
2,82,10
2,91,10
2,92,10
2,93,10
2,297,10
2,101,10
2,103,10
2,104,10
2,105,10
2,112,10
2,114,10
2,301,10
2,308,10
2,310,10
2,312,10
2,313,10
2,318,10
2,334,10
2,303,10
2,306,10
2,336,10
2,337,10
2,339,10
2,340,10
2,117,10
2,122,10
2,130,10
2,134,10
2,143,10
2,13,10
2,26,10
2,27,10
2,30,10
2,117,10
2,122,10
2,130,10
2,134,10
2,143,10
2,13,10
2,29,10
2,31,10
2,166,10
2,120,10
2,120,10
2,135,10
2,135,10
2,144,10
2,144,10
2,162,10
3,33,5
3,39,5
3,47,5
3,123,5
3,124,5
3,135,5
3,136,5
3,138,5
3,31,5
3,162,5
3,34,5
3,36,5
3,37,5
3,184,5
3,408,5
3,38,5
3,173,5
3,44,5
3,186,5
3,45,5
3,46,5
3,56,5
3,61,5
3,69,5
3,252,5
3,72,5
3,74,5
3,81,5
3,82,5
3,85,5
3,91,5
3,92,5
3,93,5
3,100,5
3,297,5
3,340,5
3,116,5
3,117,5
3,381,5
3,118,5
3,119,5
3,122,5
3,125,5
3,129,5
3,130,5
3,131,5
3,407,5
3,133,5
3,134,5
3,137,5
3,139,5
3,142,5
3,1,5
3,32,5
3,159,5
3,54,5
3,163,5
3,164,5
3,165,5
3,166,5
4,33,10
4,34,10
4,36,10
4,37,10
4,184,10
4,197,10
4,38,10
